Time (sec), Heater 1 (%), Temperature 1 (degC)
2.568255751132965088e+02,5.000000000000000000e+01,8.667000000000000171e+01
2.578202981948852539e+02,5.000000000000000000e+01,8.695999999999999375e+01
2.588111562728881836e+02,5.000000000000000000e+01,8.706000000000000227e+01
2.598074662685394287e+02,5.000000000000000000e+01,8.726999999999999602e+01
2.608013706207275391e+02,5.000000000000000000e+01,8.729000000000000625e+01
2.617975776195526123e+02,5.000000000000000000e+01,8.729000000000000625e+01
2.627944946289062500e+02,5.000000000000000000e+01,8.740999999999999659e+01
2.637874908447265625e+02,5.000000000000000000e+01,8.759000000000000341e+01
2.647833893299102783e+02,5.000000000000000000e+01,8.751000000000000512e+01
2.657791724205017090e+02,5.000000000000000000e+01,8.757999999999999829e+01
2.667765488624572754e+02,5.000000000000000000e+01,8.760999999999999943e+01
2.677733886241912842e+02,5.000000000000000000e+01,8.793000000000000682e+01
2.687664954662322998e+02,5.000000000000000000e+01,8.825000000000000000e+01
2.697612526416778564e+02,5.000000000000000000e+01,8.848999999999999488e+01
2.707567601203918457e+02,5.000000000000000000e+01,8.854000000000000625e+01
2.717527587413787842e+02,5.000000000000000000e+01,8.856999999999999318e+01
2.727451367378234863e+02,5.000000000000000000e+01,8.860999999999999943e+01
2.737416193485260010e+02,5.000000000000000000e+01,8.893999999999999773e+01
2.747355453968048096e+02,5.000000000000000000e+01,8.921999999999999886e+01
2.757312891483306885e+02,5.000000000000000000e+01,8.954000000000000625e+01
2.767275662422180176e+02,5.000000000000000000e+01,8.967000000000000171e+01
2.777229535579681396e+02,5.000000000000000000e+01,8.985999999999999943e+01
2.787192294597625732e+02,5.000000000000000000e+01,9.006000000000000227e+01
2.797145264148712158e+02,5.000000000000000000e+01,8.990999999999999659e+01
2.807109611034393311e+02,5.000000000000000000e+01,9.004000000000000625e+01
2.817055583000183105e+02,5.000000000000000000e+01,9.018999999999999773e+01
2.827022736072540283e+02,5.000000000000000000e+01,9.043999999999999773e+01
2.836993522644042969e+02,5.000000000000000000e+01,9.073000000000000398e+01
2.846945610046386719e+02,5.000000000000000000e+01,9.076999999999999602e+01
2.856891834735870361e+02,5.000000000000000000e+01,9.067000000000000171e+01
2.866842823028564453e+02,5.000000000000000000e+01,9.059999999999999432e+01
2.876813077926635742e+02,5.000000000000000000e+01,9.051000000000000512e+01
2.886765811443328857e+02,5.000000000000000000e+01,9.048000000000000398e+01
2.896731388568878174e+02,5.000000000000000000e+01,9.018999999999999773e+01
2.906703863143920898e+02,5.000000000000000000e+01,8.998000000000000398e+01
2.916691646575927734e+02,5.000000000000000000e+01,8.998000000000000398e+01
2.926633849143981934e+02,5.000000000000000000e+01,8.985999999999999943e+01
2.936621506214141846e+02,5.000000000000000000e+01,8.985999999999999943e+01
2.946554911136627197e+02,5.000000000000000000e+01,8.985999999999999943e+01
2.956521673202514648e+02,5.000000000000000000e+01,8.987999999999999545e+01
2.966466710567474365e+02,5.000000000000000000e+01,9.009999999999999432e+01
2.976412401199340820e+02,5.000000000000000000e+01,9.018999999999999773e+01
2.986378247737884521e+02,5.000000000000000000e+01,9.018999999999999773e+01
2.996302595138549805e+02,5.000000000000000000e+01,9.043999999999999773e+01
3.006232192516326904e+02,5.000000000000000000e+01,9.051000000000000512e+01
3.016221008300781250e+02,5.000000000000000000e+01,9.054000000000000625e+01
3.026191840171813965e+02,5.000000000000000000e+01,9.075000000000000000e+01
3.036101551055908203e+02,5.000000000000000000e+01,9.082999999999999829e+01
3.046053924560546875e+02,5.000000000000000000e+01,9.082999999999999829e+01
3.055980665683746338e+02,5.000000000000000000e+01,9.090999999999999659e+01
3.065935034751892090e+02,5.000000000000000000e+01,9.112000000000000455e+01
3.075903463363647461e+02,5.000000000000000000e+01,9.115000000000000568e+01
3.085832812786102295e+02,5.000000000000000000e+01,9.118000000000000682e+01
3.095791811943054199e+02,5.000000000000000000e+01,9.115000000000000568e+01
3.105745046138763428e+02,5.000000000000000000e+01,9.115000000000000568e+01
3.115712282657623291e+02,5.000000000000000000e+01,9.114000000000000057e+01
3.125703001022338867e+02,5.000000000000000000e+01,9.109999999999999432e+01
3.135655355453491211e+02,5.000000000000000000e+01,9.106999999999999318e+01
3.145619847774505615e+02,5.000000000000000000e+01,9.115000000000000568e+01
3.155591435432434082e+02,5.000000000000000000e+01,9.114000000000000057e+01
3.165542588233947754e+02,5.000000000000000000e+01,9.114000000000000057e+01
3.175502393245697021e+02,5.000000000000000000e+01,9.112000000000000455e+01
3.185475218296051025e+02,5.000000000000000000e+01,9.115000000000000568e+01
3.195421714782714844e+02,5.000000000000000000e+01,9.115000000000000568e+01
3.205395066738128662e+02,5.000000000000000000e+01,9.115000000000000568e+01
3.215320913791656494e+02,5.000000000000000000e+01,9.115000000000000568e+01
3.225261509418487549e+02,5.000000000000000000e+01,9.132999999999999829e+01
3.235181477069854736e+02,5.000000000000000000e+01,9.146999999999999886e+01
3.245111429691314697e+02,5.000000000000000000e+01,9.178000000000000114e+01
3.255027420520782471e+02,5.000000000000000000e+01,9.179999999999999716e+01
3.264982433319091797e+02,5.000000000000000000e+01,9.212000000000000455e+01
3.274946186542510986e+02,5.000000000000000000e+01,9.215000000000000568e+01
3.284909808635711670e+02,5.000000000000000000e+01,9.239000000000000057e+01
3.294868688583374023e+02,5.000000000000000000e+01,9.243999999999999773e+01
3.304802312850952148e+02,5.000000000000000000e+01,9.243999999999999773e+01
3.314780752658843994e+02,5.000000000000000000e+01,9.262999999999999545e+01
3.324712996482849121e+02,5.000000000000000000e+01,9.262999999999999545e+01
3.334626762866973877e+02,5.000000000000000000e+01,9.276000000000000512e+01
3.344587528705596924e+02,5.000000000000000000e+01,9.276000000000000512e+01
3.354492344856262207e+02,5.000000000000000000e+01,9.282999999999999829e+01
3.364443807601928711e+02,5.000000000000000000e+01,9.309000000000000341e+01
3.374402916431427002e+02,5.000000000000000000e+01,9.309000000000000341e+01
3.384334132671356201e+02,5.000000000000000000e+01,9.325000000000000000e+01
3.394291834831237793e+02,5.000000000000000000e+01,9.339000000000000057e+01
3.404273042678833008e+02,5.000000000000000000e+01,9.340999999999999659e+01
3.414231958389282227e+02,5.000000000000000000e+01,9.339000000000000057e+01
3.424192142486572266e+02,5.000000000000000000e+01,9.340999999999999659e+01
3.434173223972320557e+02,5.000000000000000000e+01,9.340999999999999659e+01
3.444128763675689697e+02,5.000000000000000000e+01,9.345999999999999375e+01
3.454065458774566650e+02,5.000000000000000000e+01,9.359000000000000341e+01
3.464021847248077393e+02,5.000000000000000000e+01,9.370999999999999375e+01
3.473973996639251709e+02,5.000000000000000000e+01,9.370999999999999375e+01
3.483968973159790039e+02,5.000000000000000000e+01,9.373000000000000398e+01
3.493911821842193604e+02,5.000000000000000000e+01,9.373000000000000398e+01
3.503844804763793945e+02,5.000000000000000000e+01,9.381000000000000227e+01
3.513817641735076904e+02,5.000000000000000000e+01,9.404000000000000625e+01
